|NodeNo|     |WITH ACO Scene|       |Packets sent|         |Best route|
     9                    4                    2                    3
     9                    4                    3                    1
     9                    4                    4                    1
     9                    4                    5                    2
     9                    4                    6                    2
     9                    4                    7                    2
     9                    4                    8                    2
     9                    4                    9                    2
     9                    4                   10                    3
     9                    4                   11                    3
     9                    4                   12                    3
     9                    4                   13                    3
     9                    4                   14                    1
     9                    4                   15                    1
     9                    4                   16                    1
     9                    4                   17                    1
     9                    4                   18                    1
     9                    4                   19                    1
     9                    4                   20                    1
     9                    4                   21                    1
     9                    4                   22                    2
     9                    4                   23                    2
     9                    4                   24                    2
     9                    4                   25                    2
     9                    4                   26                    2
     9                    4                   27                    2
     9                    4                   28                    3
     9                    4                   29                    3
     9                    4                   30                    3
     9                    4                   31                    3
     9                    4                   32                    3
     9                    4                   33                    3
     9                    4                   34                    3
     9                    4                   35                    3
     9                    4                   36                    3
     9                    4                   37                    3
     9                    4                   38                    1
     9                    4                   39                    1
     9                    4                   40                    1
     9                    4                   41                    1
     9                    4                   42                    1
     9                    4                   43                    1
     9                    4                   44                    1
     9                    4                   45                    2
     9                    4                   46                    2
     9                    4                   47                    2
     9                    4                   48                    2
     9                    4                   49                    2
     9                    4                   50                    2
     9                    4                   51                    2
     9                    4                   52                    2
     9                    4                   53                    2
     9                    4                   54                    2
     9                    4                   55                    2
     9                    4                   56                    3
     9                    4                   57                    3
     9                    4                   58                    3
     9                    4                   59                    3
     9                    4                   60                    3
     9                    4                   61                    3
     9                    4                   62                    3
     9                    4                   63                    3
     9                    4                   64                    3
     9                    4                   65                    1
     9                    4                   66                    1
     9                    4                   67                    1
     9                    4                   68                    1
